bathrooms,parking,price,rooms,size,ubication,years
2,0 años,"5,000,000",2,3,"Miguel Angel De Quevedo, Parque San Andrés, Coyoacán, Distrito Federal",
2,,"2,922,617",3,120 m²,"Calzada De Tlalpan 00, Pueblo de Santa Ursula Coapa, Coyoacán, Distrito Federal",
2,3,"5,100,000",3,124 m²,"Coyoacan, Parque San Andrés, Coyoacán, Distrito Federal",0 años
1,5,"5,300,000",2,3,"Corina, Del Carmen, Coyoacán, Distrito Federal",
0 años,,"11,977,500",3,3,"Bosques De Tetlameya22, Bosques De Tetlameya, Coyoacán, Distrito Federal",
2,2,"1,885,620",4,57 m²,"Anacahuita, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
2,2,"5,750,000",4,108 m²,"Alba, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
2,2,"19,500",4,75 m²,"Blvd Adolfo Ruíz Cortines, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
3,2,"17,900",3,230 m²,"Miguel Olivares, Presidentes Ejidales, Coyoacán, Distrito Federal",
2,1,"1,801,485",3,57 m²,"Teponaztle, Adolfo Ruiz Cortines, Coyoacán, Distrito Federal",0 años
3,2,"13,500",5,125 m²,"Calle Nueve, Espartaco, Coyoacán, Distrito Federal",0 años
1,1,"13,500",2,50 m²,"Cuauhtemoc, Del Carmen, Coyoacán, Distrito Federal",
2,1,"1,799,360",2,56.23 m²,"____, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",1
3,2,"2,350,000",5,75 m²,"San Miguel Xicalco, Presidentes Ejidales, Coyoacán, Distrito Federal",0 años
3,2,"2,400,000",5,129 m²,"Ejido San Lorenzo Tezonco, Barrio San Francisco Culhuacán Barrio de San Francisco, Coyoacán, Distrito Federal",0 años
3,2,"2,850,000",5,87 m²,"Pacifico, Pueblo de los Reyes, Coyoacán, Distrito Federal",
2,1,"2,295,000",3,54 m²,"Clavel, Pueblo La Candelaria, Coyoacán, Distrito Federal",0 años
2,2,"5,600,000",3,113 m²,"Adolfo Ruíz Cortines, Pedregal De Carrasco, Coyoacán, Distrito Federal",
2,2,"17,500",4,96 m²,"Olímpica, Coyoacán, Distrito Federal",0 años
2,2,"23,000",2,98 m²,"Blvd. Adolfo Lopez Mateos 5146, Pedregal De Carrasco, Coyoacán, Distrito Federal",
3,3,"6,714,552",6,115 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,1,"17,900",2,2,"Blvd. Adolfo Ruiz Cortinez 5550, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
2,2,"3,400,000",4,64 m²,"Av División Del Norte, Pueblo de San Pablo Tepetlapa, Coyoacán, Distrito Federal",0 años
2,2,"4,050,000",2,82 m²,"Anillo Periférico Sur  5550, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
2,2,"28,000",4,86 m²,"Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
5,4,"4,550,000",10,300 m²,"Calz. De Las Bombas, Cafetales, Coyoacán, Distrito Federal",0 años
2,2,"20,000",4,74 m²,"Av. Adolfo Ruiz Cortinez, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
0 años,,"793,194",1,2,"Rosarios Castellanos20, Culhuacán CTM Sección VIII, Coyoacán, Distrito Federal",
2,1,"10,500",3,65 m²,"Rinconada De Los Reyes, Coyoacán, Distrito Federal",0 años
1,1,"2,710,000",2,48 m²,"Av División Del Norte, Pueblo de San Pablo Tepetlapa, Coyoacán, Distrito Federal",0 años
3,1,"2,750,000",6,120 m²,"Av. Universidad 1330, Del Carmen, Coyoacán, Distrito Federal",
2,1,"3,260,000",3,76 m²,"Avenida Del Imán, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
2,2,"3,650,000",2,86 m²,"Crepúsculo 55, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",
2,2,"25,000",4,105 m²,"Anillo Periferico, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
2,2,"3,950,000",2,86 m²,"Departamento High Park Sur, Joyas Del Pedregal, Coyoacán, Distrito Federal",Poniente
2,1,"19,000",2,2,"Periferico Sur, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
2,1,"3,100,000",3,71 m²,"Calzada De La Virgen, La Virgen, Coyoacán, Distrito Federal",0 años
2,1,"14,500",3,55 m²,"Rafael Oliva, San Diego Churubusco, Coyoacán, Distrito Federal",0 años
,,"16,000,000",1,50 m²,"Calzada De Tlalpan, Ex-Ejido De Santa Ursula Coapa, Coyoacán, Distrito Federal",
2,2,"11,650",4,80 m²,"Geyser, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
0 años,0 MXN,"7,500",1,1,"Estudio En Renta, Excelente Ubicación., Coyoacán, Distrito Federal",
0 años,,"10,000",1,15 m²,"Santa Ursula Coapa, Coyoacán, Distrito Federal",
2,2,"2,064,000",4,64 m²,"Iztaccihuat, Adolfo Ruiz Cortines, Coyoacán, Distrito Federal",0 años
2,2,"1,798,000",4,59 m²,"Cocoleras, Pedregal de Santa Ursula, Coyoacán, Distrito Federal",0 años
2,1,"10,700",2,70 m²,"Cuapinol, Pedregal De San Francisco, Coyoacán, Distrito Federal",
2,2,"3,560,000",4,124 m²,"Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
2,1,"3,494,929",4,63 m²,"Atlántida, Coyoacán, Distrito Federal",0 años
0 años,,"1,235,421",1,3,"Calle Paris35, Del Carmen, Coyoacán, Distrito Federal",
3,2,"40,000",6,200 m²,"Malintzin, Del Carmen, Coyoacán, Distrito Federal",0 años
3,2,"4,350,000",5,136 m²,"Av Coyoacan, Viveros De Coyoacán, Coyoacán, Distrito Federal",
3,2,"4,800,000",5,108 m²,"Av Santa Rosa, Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,1,"850,000",5,70 m²,"Calz . De Las Bombas  747, Cafetales, Coyoacán, Distrito Federal",0 años
3,3,"5,243,923",6,128 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,2,"3,800,000",3,10,"Departamento En Venta, Cdmx., Coyoacán, Distrito Federal",0 años
2,2,"10,000",4,70 m²,"Cjon. Del Pino 26, Pueblo La Candelaria, Coyoacán, Distrito Federal",
2,2,"21,000",4,110 m²,"Be Grand Alto Pedregal, Pedregal De Carrasco, Coyoacán, Distrito Federal",
2,,"13,500",2,125 m²,"Insurgentes Cuicuilco, Coyoacán, Distrito Federal",
2,2,"15,000",2,120 m²,"Callejón San Miguel, San Diego Churubusco, Coyoacán, Distrito Federal",Loft
2,2,"17,600",4,90 m²,"Periférico Sur, Olímpica, Coyoacán, Distrito Federal",0 años
2,1,"1,331,700",3,72 m²,"Calzada De La Virgen, STUNAM, Coyoacán, Distrito Federal",0 años
3,3,"7,500,000",6,140 m²,"La Otra Banda, Coyoacán, Distrito Federal",
3,2,"3,463,940",5,78 m²,"Calzada De Tlalpan, El Reloj, Coyoacán, Distrito Federal",
3,2,"6,327,000",5,138 m²,"Escocia, Parque San Andrés, Coyoacán, Distrito Federal",0 años
